slug,論点名,5管理分類,出現回数,出題年度数,直近出題年度,出題年度リスト,ページURL
iso-14000,ISO 14000シリーズ,社会環境管理,12,10,令和7年度,平成21年度;平成23年度;平成25年度;平成26年度;平成27年度;平成28年度;平成29年度;令和元年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/iso-14000
labor-contract-act,労働契約法,人的資源管理,12,10,令和5年度,平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成29年度;令和2年度;令和4年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/labor-contract-act
supply-chain-management,サプライチェーンマネジメント（SCM）,経済性管理,11,11,令和7年度,平成21年度;平成23年度;平成24年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和4年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/supply-chain-management
malware,マルウェア,情報管理,11,10,令和6年度,平成21年度;平成22年度;平成24年度;平成25年度;平成26年度;平成27年度;平成29年度;平成30年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/malware
product-safety,製品安全,経済性管理,11,10,令和5年度,平成21年度;平成22年度;平成23年度;平成26年度;平成27年度;平成28年度;平成29年度;令和2年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/product-safety
air-pollution-control-act,大気汚染防止法,社会環境管理,11,10,令和7年度,平成21年度;平成24年度;平成25年度;平成27年度;平成28年度;平成30年度;令和元年度;令和3年度;令和4年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/air-pollution-control-act
variable-work-hours,変形労働時間制度,人的資源管理,11,10,令和6年度,平成21年度;平成23年度;平成24年度;平成25年度;平成27年度;平成28年度;平成29年度;平成30年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/variable-work-hours
lifecycle-assessment,ライフサイクルアセスメント,社会環境管理,11,9,令和5年度,平成21年度;平成22年度;平成23年度;平成24年度;平成26年度;平成27年度;平成28年度;平成29年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/lifecycle-assessment
work-life-balance,ワーク・ライフ・バランス,人的資源管理,11,9,令和6年度,平成22年度;平成23年度;平成28年度;平成30年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/work-life-balance
climate-change-international,気候変動・国際対応,社会環境管理,11,9,令和6年度,平成21年度;平成22年度;平成23年度;平成24年度;平成27年度;平成29年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/climate-change-international
oshms,労働安全衛生マネジメントシステム（OSHMS）,安全管理,11,9,令和6年度,平成21年度;平成22年度;平成24年度;平成25年度;平成28年度;平成30年度;令和3年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/oshms
cloud-on-premises,クラウドコンピューティング／オンプレミス,情報管理,11,8,令和8年度,平成21年度;平成23年度;平成24年度;平成29年度;令和3年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/cloud-on-premises
disaster-countermeasures-act,災害対策基本法,安全管理,11,8,令和7年度,平成24年度;平成25年度;平成29年度;平成30年度;令和元年度;令和4年度;令和5年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/disaster-countermeasures-act
gantt-chart,ガントチャート,経済性管理,10,10,令和8年度,平成21年度;平成23年度;平成26年度;平成30年度;令和2年度;令和3年度;令和4年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/gantt-chart
cash-flow-statement,キャッシュ・フロー計算書（C/F）,経済性管理,10,10,令和8年度,平成23年度;平成29年度;平成30年度;令和元年度;令和2年度;令和3年度;令和4年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/cash-flow-statement
process-planning-construction,工程計画,経済性管理,10,10,令和7年度,平成23年度;平成24年度;平成26年度;平成28年度;平成29年度;平成30年度;令和3年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/process-planning-construction
product-liability-act,製造物責任法（PL法）,安全管理,10,10,令和5年度,平成21年度;平成22年度;平成23年度;平成27年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/product-liability-act
digital-twin-cps,デジタルツイン・サイバーフィジカルシステム（CPS）,情報管理,10,9,令和8年度,平成22年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度;令和4年度;令和5年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/digital-twin-cps
herzberg-two-factor-theory,ハーズバーグの二要因理論,人的資源管理,10,9,令和6年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成28年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/herzberg-two-factor-theory
fta,フォールトツリー分析（FTA）,安全管理,10,9,令和8年度,平成21年度;平成23年度;平成25年度;平成26年度;令和元年度;令和2年度;令和4年度;令和5年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/fta
safety-health-education,安全衛生教育,安全管理,10,9,令和6年度,平成24年度;平成26年度;平成27年度;平成28年度;平成30年度;令和2年度;令和3年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/safety-health-education
childcare-nursing-leave-act,育児・介護休業法,人的資源管理,10,9,令和7年度,平成22年度;平成23年度;平成24年度;平成27年度;平成30年度;令和3年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/childcare-nursing-leave-act
crisis-management-manual,危機管理マニュアル,安全管理,10,9,令和4年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成26年度;平成27年度;平成28年度;令和4年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/crisis-management-manual
consumer-product-safety-act,消費生活用製品安全法,安全管理,10,9,令和5年度,平成21年度;平成22年度;平成23年度;平成28年度;平成29年度;令和2年度;令和3年度;令和4年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/consumer-product-safety-act
reliability-block-diagram,信頼性ブロック図,安全管理,10,9,令和6年度,平成21年度;平成25年度;平成26年度;平成27年度;平成29年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/reliability-block-diagram
convention-on-biodiversity,生物多様性条約,社会環境管理,10,9,令和7年度,平成25年度;平成28年度;平成30年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/convention-on-biodiversity
linear-programming,線形計画法,経済性管理,10,9,令和7年度,平成24年度;平成25年度;平成28年度;平成29年度;令和元年度;令和2年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/linear-programming
quality-improvement,品質改善活動,経済性管理,10,9,令和6年度,平成23年度;平成25年度;平成26年度;平成28年度;平成29年度;平成30年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/quality-improvement
emergency,緊急事態,安全管理,10,7,令和6年度,平成22年度;平成23年度;平成25年度;平成26年度;平成27年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/emergency
citizen-participation,住民参加,情報管理,10,7,令和8年度,平成25年度;平成27年度;平成29年度;令和3年度;令和5年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/citizen-participation
intrinsic-motivation,内発的動機付け,人的資源管理,10,7,令和6年度,平成21年度;平成22年度;平成24年度;平成25年度;平成26年度;平成28年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/intrinsic-motivation
mcgregor-xy-theory,マクレガーのＸ理論とＹ理論,人的資源管理,9,9,令和6年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成27年度;平成28年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/mcgregor-xy-theory
maslow-hierarchy-of-needs,マズローの欲求５段階説,人的資源管理,9,9,令和6年度,平成21年度;平成22年度;平成23年度;平成24年度;平成25年度;平成27年度;平成28年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/maslow-hierarchy-of-needs
performance-evaluation,業績考課（成績考課）,人的資源管理,9,9,令和7年度,平成22年度;平成23年度;平成25年度;平成27年度;平成28年度;平成29年度;平成30年度;令和4年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/performance-evaluation
present-annual-future-value,現価（現在価値）・年価・終価,経済性管理,9,9,令和6年度,平成21年度;平成22年度;平成24年度;平成25年度;平成26年度;平成28年度;令和元年度;令和2年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/present-annual-future-value
accident-statistics,災害統計,安全管理,9,9,令和8年度,平成23年度;平成24年度;平成26年度;平成29年度;平成30年度;令和4年度;令和6年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/accident-statistics
trademark-rights,商標権（商標法）,情報管理,9,9,令和6年度,平成21年度;平成23年度;平成25年度;平成28年度;平成29年度;令和元年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/trademark-rights
master-schedule-planning,大日程計画・中日程計画・小日程計画,経済性管理,9,9,令和5年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;平成28年度;平成29年度;平成30年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/master-schedule-planning
quality-assurance,品質保証,経済性管理,9,9,令和6年度,平成21年度;平成22年度;平成24年度;平成25年度;平成28年度;平成30年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/quality-assurance
labor-relations-adjustment-act,労働関係調整法,人的資源管理,9,9,令和8年度,平成24年度;平成25年度;平成26年度;平成27年度;平成29年度;令和元年度;令和3年度;令和5年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/labor-relations-adjustment-act
dcf-method,DCF法,経済性管理,9,8,令和3年度,平成22年度;平成24年度;平成25年度;平成26年度;平成30年度;令和元年度;令和2年度;令和3年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/dcf-method
npv-net-present-value,NPV,経済性管理,9,8,令和6年度,平成22年度;平成24年度;平成25年度;平成26年度;平成30年度;令和2年度;令和3年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/npv-net-present-value
risk-perception,リスク認知,安全管理,9,8,令和6年度,平成21年度;平成23年度;平成26年度;平成27年度;平成29年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/risk-perception
labor-union-act,労働組合法,人的資源管理,9,8,令和8年度,平成24年度;平成25年度;平成26年度;平成27年度;平成29年度;令和元年度;令和3年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/labor-union-act
machine-learning,機械学習,情報管理,9,7,令和8年度,平成29年度;平成30年度;令和2年度;令和3年度;令和4年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/machine-learning
descriptive-statistics,記述統計,情報管理,9,7,令和7年度,平成25年度;令和元年度;令和2年度;令和3年度;令和4年度;令和5年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/descriptive-statistics
security-education,情報セキュリティ教育,情報管理,9,7,平成29年度,平成21年度;平成22年度;平成23年度;平成24年度;平成26年度;平成27年度;平成29年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/security-education
copyright,著作権（著作権法）,情報管理,9,7,令和7年度,平成21年度;平成23年度;平成25年度;平成26年度;平成28年度;令和4年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/copyright
disaster-weather-info,防災気象情報,安全管理,9,7,令和7年度,平成22年度;平成25年度;平成29年度;平成30年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/disaster-weather-info
csr,CSR,社会環境管理,8,8,令和8年度,平成24年度;平成25年度;平成28年度;令和2年度;令和3年度;令和4年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/csr
esg-investment,ESG投資・ESG金融,社会環境管理,8,8,令和6年度,平成23年度;平成24年度;平成26年度;令和2年度;令和3年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/esg-investment
risk-treatment,リスク対応,安全管理,8,8,令和5年度,平成21年度;平成23年度;平成24年度;平成27年度;平成28年度;平成30年度;令和2年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/risk-treatment
system-availability,可用性（Availability）,情報管理,8,8,令和6年度,平成21年度;平成23年度;平成24年度;平成26年度;平成27年度;平成29年度;令和2年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/system-availability
hierarchical-training,階層別研修,人的資源管理,8,8,令和2年度,平成21年度;平成22年度;平成25年度;平成26年度;平成27年度;平成29年度;平成30年度;令和2年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/hierarchical-training
probabilistic-risk-assessment,確率論的リスク評価,安全管理,8,8,令和2年度,平成21年度;平成22年度;平成24年度;平成25年度;平成26年度;平成28年度;平成29年度;令和2年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/probabilistic-risk-assessment
discount-rate,割引率,経済性管理,8,8,令和6年度,平成22年度;平成24年度;平成25年度;平成26年度;平成28年度;平成30年度;令和2年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/discount-rate
personal-information,個人情報,情報管理,8,8,令和3年度,平成21年度;平成24年度;平成26年度;平成28年度;平成29年度;平成30年度;令和2年度;令和3年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/personal-information
public-acceptance,社会的受容（PA）,情報管理,8,8,令和8年度,平成23年度;平成25年度;平成26年度;平成27年度;令和2年度;令和5年度;令和7年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/public-acceptance
demand-forecasting,需要予測,経済性管理,8,8,令和8年度,平成22年度;平成23年度;平成25年度;平成26年度;令和元年度;令和3年度;令和4年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/demand-forecasting
equal-employment-act,男女雇用機会均等法,人的資源管理,8,8,令和6年度,平成21年度;平成24年度;平成26年度;平成28年度;平成30年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/equal-employment-act
series-system,直列システム,安全管理,8,8,令和6年度,平成23年度;平成25年度;平成27年度;平成29年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/series-system
seven-types-of-pollution,典型７公害,社会環境管理,8,8,令和7年度,平成24年度;平成25年度;平成27年度;平成28年度;平成30年度;令和3年度;令和4年度;令和7年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/seven-types-of-pollution
parallel-system,並列システム,安全管理,8,8,令和6年度,平成23年度;平成25年度;平成27年度;平成29年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/parallel-system
internet,インターネット,情報管理,8,7,令和5年度,平成22年度;平成23年度;平成24年度;平成25年度;平成28年度;平成29年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/internet
stakeholder,ステーク・ホルダー,情報管理,8,7,令和5年度,平成23年度;平成25年度;平成29年度;令和2年度;令和3年度;令和4年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/stakeholder
positive-action,ポジティブアクション,人的資源管理,8,7,令和6年度,平成26年度;平成28年度;平成30年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/positive-action
lifecycle-management,ライフサイクルマネジメント,経済性管理,8,7,令和3年度,平成21年度;平成22年度;平成24年度;平成27年度;平成28年度;平成29年度;令和3年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/lifecycle-management
prtr-act,化管法／PRTR法,社会環境管理,8,7,令和5年度,平成22年度;平成25年度;平成26年度;平成28年度;平成29年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/prtr-act
health-management,健康経営,人的資源管理,8,7,令和8年度,平成23年度;平成30年度;令和2年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/health-management
targeted-attack,標的型攻撃,情報管理,8,7,令和6年度,平成24年度;平成25年度;平成26年度;平成29年度;平成30年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/targeted-attack
environmental-communication,環境コミュニケーション,社会環境管理,8,6,令和5年度,平成22年度;平成23年度;平成25年度;平成28年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/environmental-communication
linear-regression,線形回帰と最小二乗法,情報管理,8,6,令和8年度,令和2年度;令和3年度;令和4年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/linear-regression
cyber-security,サイバー安全保障,情報管理,8,5,令和2年度,平成26年度;平成28年度;平成29年度;平成30年度;令和2年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/cyber-security
jit-production,JIT生産方式,経済性管理,7,7,令和6年度,平成24年度;平成28年度;平成29年度;令和3年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/jit-production
incentive,インセンティブ,人的資源管理,7,7,令和6年度,平成22年度;平成23年度;平成25年度;平成27年度;平成28年度;令和4年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/incentive
fail-safe,フェールセーフ,安全管理,7,7,令和6年度,平成21年度;平成22年度;平成25年度;平成26年度;平成27年度;令和元年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/fail-safe
matrix-organization,マトリクス組織,人的資源管理,7,7,令和4年度,平成21年度;平成22年度;平成24年度;平成26年度;平成29年度;令和3年度;令和4年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/matrix-organization
mental-health,メンタルヘルス,安全管理,7,7,令和6年度,平成21年度;平成23年度;平成25年度;平成27年度;平成28年度;令和3年度;令和6年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/mental-health
risk-management-system,リスクマネジメントシステム,安全管理,7,7,令和5年度,平成21年度;平成23年度;平成24年度;平成30年度;令和元年度;令和4年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/risk-management-system
risk-analysis,リスク分析,安全管理,7,7,令和5年度,平成23年度;平成28年度;平成29年度;平成30年度;令和元年度;令和3年度;令和5年度,https://doboku-note.com/exam/pe-comprehensive-management/keywords/risk-analysis
